bins,Average_CRPS_best_GraphSage_small,Average_CRPS_best_ResGnn_small,Average_CRPS_best_GlobalInfo_small,Average_CRPS_best_GraphSage_large,Average_CRPS_best_ResGnn_large,Average_CRPS_best_GlobalInfo_large,Average_CRPS_ensemble
-20.0,9.549149513244627,10.792922019958496,9.78044605255127,8.047773361206055,7.517651081085205,7.280754566192627,8.876159203910827
-19.5,9.268845558166504,11.449300765991213,10.825749397277832,7.861325263977051,8.341108322143555,8.132843971252441,7.279761553764343
-19.0,4.364941596984863,7.716185569763184,5.630496025085449,4.7099127769470215,3.9697327613830566,4.192030906677246,2.1784780040740963
-18.5,5.060040473937988,8.294299125671387,6.773387908935547,5.19814920425415,5.140026092529297,4.828368186950684,3.9742918703079226
-18.0,4.397077560424805,8.214740753173828,7.1712327003479,4.44863224029541,5.050976276397705,3.788763999938965,4.600540511322022
-17.5,5.663982391357422,7.971653461456299,6.95735502243042,5.521851062774658,5.41878080368042,5.371405124664307,4.200491784763336
-17.0,4.671422481536865,6.531980514526367,5.493584632873535,4.545037746429443,3.7982258796691895,4.018486022949219,2.9121141937255857
-16.5,6.4136576652526855,8.348505973815918,7.823291778564453,6.465785980224609,6.144002437591553,5.718748092651367,6.975962700796127
-16.0,5.432488441467285,7.224706172943115,6.497718811035156,4.908682346343994,5.083992004394531,5.3919782638549805,4.604352041854858
-15.5,4.2707929611206055,5.943166732788086,5.195869445800781,3.964935302734375,3.838087558746338,3.795159578323364,3.9486602738571164
-15.0,5.288618087768555,6.937918663024902,6.338261604309082,4.6572771072387695,4.885837554931641,4.920772075653076,4.256313343620301
-14.5,4.100738048553467,6.029972076416016,5.359090328216553,3.894148588180542,4.080174922943115,4.151256561279297,4.072461702768008
-14.0,4.800602436065674,6.290604114532471,5.970204830169678,4.413428783416748,4.213649272918701,4.438283443450928,4.807340673393659
-13.5,4.765624046325684,6.144651412963867,5.953640937805176,4.45054817199707,4.267207622528076,4.537407398223877,4.563626764934712
-13.0,3.731539249420166,5.190100193023682,4.850269794464111,3.528805732727051,3.488131046295166,3.706855058670044,3.6192862633153013
-12.5,3.0388808250427246,4.372943878173828,3.9821064472198486,2.9283316135406494,2.9521913528442383,3.058527708053589,2.8686561013600764
-12.0,3.570283889770508,4.642529487609863,4.618112087249756,3.236895799636841,3.270702362060547,3.3634285926818848,3.1364310479437028
-11.5,3.827223777770996,4.544631004333496,4.858448028564453,3.1338536739349365,3.140768051147461,3.2943077087402344,3.5186306873640047
-11.0,3.258725166320801,4.003174304962158,4.029407978057861,2.7368619441986084,2.764343023300171,2.879575490951538,2.9744574075093664
-10.5,3.0718536376953125,3.888028144836426,4.005730152130127,2.7398808002471924,2.745417594909668,2.8732404708862305,2.935521987317378
-10.0,3.327428102493286,3.992144823074341,4.227367877960205,2.895880699157715,2.8235793113708496,3.02782678604126,3.112685638879823
-9.5,2.9129772186279297,3.324924230575561,3.595154285430908,2.3727426528930664,2.3372602462768555,2.4740242958068848,2.7242817561617265
-9.0,2.779704570770264,3.294494867324829,3.484931468963623,2.2573671340942383,2.2383151054382324,2.365192413330078,2.9107546096907604
