bins,Average_SD_best_GraphSage_small,Average_SD_best_ResGnn_small,Average_SD_best_GlobalInfo_small,Average_SD_best_GraphSage_large,Average_SD_best_ResGnn_large,Average_SD_best_GlobalInfo_large,Average_SD_ensemble
-20.0,2.466172695159912,1.6555688381195068,2.802098274230957,2.957337141036988,3.3145534992218018,3.2999706268310547,1.6754190394828825
-19.5,2.984538555145264,1.7565025091171265,2.7972235679626465,3.441504001617432,3.2590789794921875,3.2815651893615723,5.287718597332713
-19.0,3.890653133392334,2.357689142227173,3.86336612701416,3.667640686035156,3.9663290977478014,3.812968254089356,5.199442546234426
-18.5,3.7328789234161377,2.239153861999512,3.4174697399139404,3.555285692214966,3.618963479995728,3.716086149215698,4.874334512204023
-18.0,3.706808090209961,2.1184067726135254,3.3051743507385254,3.7339835166931152,3.7646689414978014,3.833700180053711,4.893706483891248
-17.5,3.647688865661621,2.428219079971313,3.31762957572937,3.62404727935791,3.479785203933716,3.5814192295074463,7.422319363069949
-17.0,2.66870641708374,1.8486391305923464,3.0133872032165527,2.850801706314087,3.084365129470825,3.103534698486328,1.5754166147238289
-16.5,2.9232077598571777,1.986404538154602,2.452558994293213,2.947674512863159,2.934109687805176,3.048448085784912,3.656956243877114
-16.0,3.287398099899292,2.415511131286621,2.950681686401367,3.390181303024292,3.218593120574951,3.185719966888428,6.260553554438203
-15.5,3.280091524124145,2.2437498569488525,3.0823535919189453,3.302935838699341,3.316701412200928,3.2840638160705566,5.659904114304638
-15.0,2.988752603530884,2.137328863143921,2.593225240707397,3.223593235015869,3.091683387756348,2.97240686416626,5.040623522236806
-14.5,3.1180546283721924,2.0708816051483154,2.6569645404815674,3.1750481128692627,3.065610647201538,2.950423002243042,4.16188973490463
-14.0,2.758826494216919,1.968588590621948,2.306518316268921,2.893044233322144,2.964628458023072,2.7226221561431885,3.611794571338956
-13.5,2.678461790084839,1.9138858318328853,2.217517614364624,2.8069446086883545,2.8608946800231934,2.648200035095215,3.3253934556187774
-13.0,2.8935019969940186,2.008639097213745,2.346292018890381,2.9479198455810547,2.831763505935669,2.7013697624206543,3.8051345602816857
-12.5,2.8849003314971924,2.039344549179077,2.4314725399017334,2.9631776809692383,2.8689329624176025,2.746193647384644,4.0828187591942084
-12.0,2.4326484203338623,1.8738621473312376,2.027676105499268,2.513995885848999,2.432694911956787,2.376814126968384,2.934461884328615
-11.5,2.2590389251708984,1.7841944694519043,1.900059700012207,2.359257936477661,2.3550808429718018,2.281913995742798,2.46165352349501
-11.0,2.3208489418029785,1.8362364768981927,1.979228973388672,2.4017884731292725,2.3696000576019287,2.3243608474731445,2.8674854616929895
-10.5,2.297243356704712,1.811269164085388,1.8611068725585933,2.3550150394439697,2.29239273071289,2.2044501304626465,2.9475504552732157
-10.0,2.1808981895446777,1.750965595245361,1.8136448860168457,2.2755327224731445,2.2252774238586426,2.0874838829040527,2.819890358794985
-9.5,2.149533271789551,1.6810225248336792,1.8017847537994385,2.246134281158448,2.2305727005004883,2.0942718982696533,2.260655169413726
-9.0,2.019327640533448,1.6951971054077148,1.7855888605117798,2.1358351707458496,2.147543668746948,2.025895595550537,2.1339552669844504
-8.5,1.980149507522583,1.657118558883667,1.7500205039978027,2.1252036094665527,2.15692400932312,1.996333360671997,1.9013286336536175
-8.0,1.856218934059143,1.6026198863983154,1.6865627765655518,2.044894218444824,2.091923713684082,1.9310065507888796,1.5154736383897
-7.5,1.807024359703064,1.5754761695861816,1.6196955442428589,1.9670366048812864,2.000606775283813,1.8679600954055784,1.3553984013943825
-7.0,1.7724685668945312,1.5761308670043943,1.611088514328003,1.9408572912216189,1.9781371355056765,1.8528448343276975,1.2376490572818994
-6.5,1.6986827850341797,1.5540927648544312,1.5727555751800537,1.872596025466919,1.9036692380905151,1.7829140424728394,1.0934065022740909
-6.0,1.673012137413025,1.567501425743103,1.5682131052017212,1.823047637939453,1.8494963645935056,1.7345149517059326,1.1021675497472916
-5.5,1.637181043624878,1.5506936311721802,1.5467407703399658,1.7701669931411743,1.803199052810669,1.7054564952850342,0.8678806383724356
-5.0,1.5952311754226685,1.5460805892944336,1.5205867290496826,1.732224702835083,1.773153305053711,1.6675854921340942,0.8555048556495803
